Species,Cohort,MATRR ID,Date of BC,Timepoint,State,TP:,ALB:,ALKP:,ALT:,AST:,GGT:,TBIL:,GLU:,BUN:,CREA:,K:,NA:,CL:,Ca:,PHOS:,Fe:,CHOL:,LDH:,TRIG:,A/G ratio:,DBIL:,Glob:,Amyl:,MG:,WBC:,NEUT%:,BAND%:,LY%,MONO%:,EOS%:,BASO%:,HCT:,HGB:,RBC:,MCV:,MCH:,MCHC:,PLT:,,
cyno,2,10016,8/17/2005,pre-induction,sedated,7.4,,,,,,,,,,,,,,,,,,,,,,,,11.8,44,0,47.7,5.4,2.2,0.7,43.5,14.3,6.05,72,23.6,32.9,426,,LY% = Lymphocytes
cyno,2,10016,2/6/2006,H2O induction,awake,,,,,,,,,,,,,,,,,,,,,,,,,9.3,39.2,0,54.1,3.9,2.1,0.7,44.1,14.1,5.9,75,23.9,32,167,,
cyno,2,10016,3/27/2006,H2O induction,sedated,7,4.2,167,45,50,62,0.4,54,23,1.5,4.6,148,111,9.5,2.9,83,136,485,127,1.5,0.1,2.8,,,10.7,32.6,0,57.7,5.4,3.5,0.8,42.8,13.9,5.73,75,24.3,32.5,378,,
cyno,2,10016,10/26/2006,open access 1,sedated,7.9,4.6,84,37,38,70,0.5,36,16,1.5,4.8,152,108,9.8,3.8,124,171,503,421,1.4,0.1,3.3,,,9.5,53.1,0,39.2,5,2.2,0.5,42.5,13.7,5.66,75,24.2,32.2,446,,
cyno,2,10016,4/18/2007,open access 2,sedated,7,4.2,138,25,36,63,0.2,45,15,1.3,4.2,146,104,9.8,3.9,104,163,603,267,1.5,0,2.8,,,11.5,30.1,0,61.3,5.2,2.5,0.9,42.9,13.5,5.63,76,24,31.5,214,,
cyno,2,10016,10/31/2007,before withdrawl 1,sedated,6.9,4.8,93,35,66,63,0.4,50,23,1.5,4.7,148,106,10.1,3.8,111,155,538,56,2.3,0.1,2.1,,,12.3,45.8,0,46.6,4.9,1.8,0.9,43.2,13.8,5.68,76,24.3,31.9,433,,
cyno,2,10016,4/24/2008,withdrawl 2,sedated,6.8,4.4,119,29,36,57,0.2,52,16.2,1.4,4.4,148,106,10.1,2.5,101,134,399,181,1.8,0,2.4,,,9.7,32.2,0,62,3.4,1.8,0.6,42.1,13.2,5.52,76,23.9,31.4,414,,
cyno,2,10016,11/21/2008,before withdrawl 3,sedated,7.2,4.5,119,31,40,60,0.4,44,20.2,1.4,4.8,151,110,9.7,3,146,188,603,353,1.7,0.1,2.7,,,9.8,43.2,0,49.8,4.6,1.7,0.7,42.5,14.2,5.76,74,24.7,33.4,466,,
cyno,2,10018,8/17/2005,pre-induction,sedated,7,,,,,,,,,,,,,,,,,,,,,,,,10,47,0,45.9,4.3,2,0.8,37.5,12.5,5.13,73,24.4,33.3,354,,
cyno,2,10018,2/6/2006,H2O induction,awake,,,,,,,,,,,,,,,,,,,,,,,,,9.1,37.7,0,54.6,3.8,3,0.9,40.9,13.4,5.23,78,25.6,32.8,139,,
cyno,2,10018,3/27/2006,H2O induction,sedated,6.6,3.8,94,30,52,51,0.5,65,16,1,4.3,145,109,9.1,4,103,74,616,31,1.4,0.1,2.8,,,7.8,40.1,0,49.8,6.5,3,0.6,35.6,11.5,4.54,78,25.3,32.3,378,,
cyno,2,10018,10/26/2006,open access 1,sedated,7.3,4.4,80,18,36,61,0.6,54,11,0.8,4.1,150,107,9.2,5.1,140,110,298,198,1.5,0.1,2.9,,,5.9,44.6,0,49.4,4.1,1.3,0.6,39.7,12.8,5.02,79,25.5,32.2,749,,
cyno,2,10018,4/18/2007,open access 2,sedated,6.6,3.9,94,17,41,60,0.3,30,11,0.8,3.9,143,101,9.5,5.3,149,115,863,161,1.4,0,2.7,,,7.9,42.6,0,52.3,3.4,1.1,0.6,40.9,13.4,5.15,80,26,32.8,488,,
cyno,2,10018,10/31/2007,before withdrawl 1,sedated,6.1,4.1,71,18,93,59,0.3,70,11,0.7,4.3,150,108,9.5,3.3,86,101,595,7,2.1,0.1,2,,,9,66.3,0,27.9,4.2,1.1,0.5,41.5,13.2,5.15,81,25.6,31.8,478,,
cyno,2,10018,4/24/2008,withdrawl 2,sedated,6.3,4,92,17,38,59,0.3,53,10.7,0.7,3.9,144,102,8.9,5.1,162,106,330,107,1.7,0.1,2.3, ,,7.1,43.5,0,51.3,4,0.7,0.5,37.9,12.4,4.87,78,25.5,32.7,440,,
cyno,2,10018,11/21/2008,before withdrawl 3,sedated,6.8,4.4,65,18,40,52,1.3,50,12.3,0.7,4.9,150,112,8.9,5.3,184,119,563,138,1.8,0.2,2.4,,,,,,,,,,,,,,,,,,
cyno,2,10019,8/17/2005,pre-induction,sedated,7,,,,,,,,,,,,,,,,,,,,,,,,10.8,59,0,36.2,3.8,0.4,0.6,37.5,12.4,5.36,70,23.1,33.1,333,,
cyno,2,10019,2/6/2006,H2O induction,awake,,,,,,,,,,,,,,,,,,,,,,,,,9,34.8,0,58.8,4,1.6,0.8,42.5,13.7,5.9,72,23.2,32.2,174,,
cyno,2,10019,3/27/2006,H2O induction,sedated,6.5,4.1,118,40,44,27,0.1,66,15,1,4.2,151,104,9.1,3.3,127,86,800,29,1.7,0,2.4,,,9.8,44.5,0,48.7,4.8,1.3,0.7,36.5,12,5.05,72,23.8,32.9,338,,
cyno,2,10019,10/26/2006,open access 1,sedated,6.8,4.3,80,31,34,37,0.3,53,14,0.9,3.7,146,105,9.5,6,199,114,455,80,1.7,0,2.5,,,6.5,43.3,0,50.7,4.2,1.2,0.6,38.7,12.6,5.19,74,24.3,32.6,387,,
cyno,2,10019,4/18/2007,open access 2,sedated,6.4,3.8,85,29,40,29,0.2,47,11,0.9,3.8,139,100,9.3,4,152,127,893,69,1.5,0,2.6,,,6.2,41.9,0,50.3,6.3,0.8,0.7,38.9,12.7,5.26,74,24.1,32.6,338,,
cyno,2,10019,10/31/2007,before withdrawl 1,sedated,6.2,4.3,64,34,61,29,0.3,69,17,1,3.8,148,107,9.3,3,114,112,536,22,2.3,0.1,1.9,,,7.1,34.9,0,58,5.4,0.7,1,41.7,13.5,5.5,76,24.5,32.4,353,,
cyno,2,10019,4/24/2008,withdrawl 2,sedated,6.4,4.1,71,29,40,32,0.3,58,10.7,0.8,3.4,143,102,8.8,4.1,208,109,560,162,1.8,0.1,2.3, ,,8.1,51.5,0,44.1,3.4,0.4,0.6,36.6,12,4.99,73,24,32.8,361,,
cyno,2,10019,11/21/2008,before withdrawl 3,sedated,6.3,4.2,66,37,41,31,0.3,57,16,0.9,3.6,147,113,8.9,3.1,171,134,662,56,2,0.1,,,,5.6,36.6,0,57.8,4.2,0.9,0.5,36.9,12.3,5.02,73,24.5,33.3,354,.,
cyno,2,10020,8/17/2005,pre-induction,sedated,,,,,,,,,,,,,,,,,,,,,,,,,5.6,36.6,0,57.8,4.2,0.9,0.5,36.9,12.3,5.02,73,24.5,33.3,354,,
cyno,2,10020,2/6/2006,H2O induction,awake,,,,,,,,,,,,,,,,,,,,,,,,,6.3,27.9,0,68.4,2.2,0.8,0.7,38.8,12.7,5.54,70,22.9,32.7,90,,
cyno,2,10020,3/27/2006,H2O induction,sedated,6.4,4,179,47,34,46,0.2,85,17,1.4,3.7,152,113,9.3,4.2,65,114,493,25,1.7,0,2.4,,,5.6,38.4,0,56.5,4,0.5,0.6,35.4,11.9,5,71,23.8,33.6,350,,
cyno,2,10020,10/26/2006,open access 1,sedated,7,4.3,213,27,41,52,0.4,66,91,0.6,3.7,149,105,9.1,6.4,164,161,452,83,1.6,0.1,2.7,,,4.4,39.8,0,53.8,5.5,0.5,0.4,36.5,11.7,5.01,73,23.4,32.1,608,,
cyno,2,10020,4/18/2007,open access 2,sedated,6.6,3.8,145,21,36,46,0.3,49,10,0.9,3.7,146,103,9.4,4.9,135,157,715,100,1.4,0.1,2.8,,,5.3,37.3,0,56.8,4.5,0.8,0.6,38.6,12.5,5.23,74,23.9,32.4,335,,
cyno,2,10020,10/31/2007,before withdrawl 1,sedated,6.5,4.4,87,42,69,40,1.6,57,7,0.8,4.9,153,112,9,5.2,172,115,976,66,2.1,0.3,2.1,,,6.5,44.7,0,47.3,4.9,1.5,1.6,40.8,13.1,5.36,76,24.4,32.1,343,,
cyno,2,10020,4/24/2008,withdrawl 2,sedated,6.9,4.2,78,22,32,40,0.3,70,7.5,0.9,3.5,145,103,9.5,2.7,171,128,324,78,1.6,0.1,2.7,,,6.2,53.8,0,37.5,5.6,1.6,1.5,39.2,12.7,5.33,74,23.8,32.4,293,,
