id	drink_cat	cortisol	acth	testosterone	deoxycorticosterone	aldosterone	dheas	osteocalcin	ctx
10005	LD	7.34	53.71	NA	NA	NA	NA	NA	NA
10005	LD	13.78	60.96	NA	NA	NA	NA	NA	NA
10005	LD	18.11	73.42	NA	NA	NA	NA	NA	NA
10005	LD	13.47	51.64	NA	NA	NA	NA	NA	NA
10005	LD	17.73	67.7	NA	NA	NA	NA	NA	NA
10005	LD	18.58	54.57	NA	NA	NA	NA	NA	NA
10005	LD	17.58	64.03	NA	NA	NA	NA	NA	NA
10005	LD	17.87	43.49	NA	NA	NA	NA	NA	NA
10005	LD	16.3	52.95	NA	NA	NA	NA	NA	NA
10005	LD	23.56	67.94	NA	NA	NA	NA	NA	NA
10005	LD	16.33	65.71	NA	NA	NA	NA	NA	NA
10005	LD	26.24	60.16	NA	NA	NA	NA	NA	NA
10005	LD	15.43	36.59	NA	NA	NA	NA	NA	NA
10005	LD	24.02	58.22	NA	NA	NA	NA	NA	NA
10005	LD	24.61	57.93	NA	NA	NA	NA	NA	NA
10005	LD	21.6	63.19	NA	NA	NA	NA	NA	NA
10005	LD	20.56	42.41	NA	NA	NA	NA	NA	NA
10005	LD	18.91	44.26	NA	NA	NA	NA	NA	NA
10005	LD	18.41	55.66	NA	NA	NA	NA	NA	NA
10005	LD	20.55	48.46	NA	NA	NA	NA	NA	NA
10005	LD	13.84	60.2	NA	NA	NA	NA	NA	NA
10005	LD	18.45	47.79	NA	NA	NA	NA	NA	NA
10005	LD	16.74	53.73	NA	NA	NA	NA	NA	NA
10005	LD	16.16	59.76	NA	NA	NA	NA	NA	NA
10005	LD	14.84	61.61	NA	NA	NA	NA	NA	NA
10005	LD	19.4	57.59	NA	NA	NA	NA	NA	NA
10005	LD	14.35	52.23	NA	NA	NA	NA	NA	NA
10005	LD	20.42	63.06	NA	NA	NA	NA	NA	NA
10005	LD	18.68	79.34	NA	NA	NA	NA	NA	NA
10005	LD	18.99	71.54	NA	NA	NA	NA	NA	NA
10005	LD	7.84	47.75	NA	NA	NA	NA	NA	NA
10005	LD	12.55	54.66	NA	NA	NA	NA	NA	NA
10005	LD	21.95	60.37	NA	NA	NA	NA	NA	NA
10005	LD	18.4	55.51	NA	NA	NA	NA	NA	NA
10005	LD	13.04	59.69	NA	NA	NA	NA	NA	NA
10005	LD	19.34	62.08	NA	NA	NA	NA	NA	NA
10005	LD	10.46	59.44	NA	NA	NA	NA	NA	NA
10006	VHD	25.21	61.01	NA	NA	NA	NA	NA	NA
10006	VHD	22.79	40.88	NA	NA	NA	NA	NA	NA
10006	VHD	21.77	62.03	NA	NA	NA	NA	NA	NA
10006	VHD	24.3	30.58	NA	NA	NA	NA	NA	NA
10006	VHD	18.5	49.73	NA	NA	NA	NA	NA	NA
10006	VHD	23.14	60.72	NA	NA	NA	NA	NA	NA
10006	VHD	24.88	45.79	NA	NA	NA	NA	NA	NA
10006	VHD	23.77	34.39	NA	NA	NA	NA	NA	NA
10006	VHD	13.89	36.38	NA	NA	NA	NA	NA	NA
10006	VHD	25.53	38.1	NA	NA	NA	NA	NA	NA
10006	VHD	15.53	35.51	NA	NA	NA	NA	NA	NA
10006	VHD	24.96	45.92	NA	NA	NA	NA	NA	NA
10006	VHD	21.77	54.93	NA	NA	NA	NA	NA	NA
10006	VHD	16.65	29.28	NA	NA	NA	NA	NA	NA
10006	VHD	18.67	50.62	NA	NA	NA	NA	NA	NA
10006	VHD	14.67	40.23	NA	NA	NA	NA	NA	NA
10006	VHD	22.34	55.19	NA	NA	NA	NA	NA	NA
10006	VHD	9.04	55.94	NA	NA	NA	NA	NA	NA
10006	VHD	7.37	35.25	NA	NA	NA	NA	NA	NA
10006	VHD	14.02	58.49	NA	NA	NA	NA	NA	NA
10006	VHD	6.16	46.4	NA	NA	NA	NA	NA	NA
10006	VHD	21.18	75.83	NA	NA	NA	NA	NA	NA
10006	VHD	9.62	71.41	NA	NA	NA	NA	NA	NA
10006	VHD	6.81	40.91	NA	NA	NA	NA	NA	NA
10006	VHD	10.39	57.98	NA	NA	NA	NA	NA	NA
10006	VHD	9.13	NA	NA	NA	NA	NA	NA	NA
10006	VHD	18.28	56.78	NA	NA	NA	NA	NA	NA
10006	VHD	9.04	35.84	NA	NA	NA	NA	NA	NA
10006	VHD	28.48	45.5	NA	NA	NA	NA	NA	NA
10006	VHD	32.51	44.66	NA	NA	NA	NA	NA	NA
10006	VHD	10.14	27.97	NA	NA	NA	NA	NA	NA
10006	VHD	23.77	39.41	NA	NA	NA	NA	NA	NA
10006	VHD	20.12	64.28	NA	NA	NA	NA	NA	NA
10006	VHD	19.31	41.15	NA	NA	NA	NA	NA	NA
10006	VHD	17.08	67.84	NA	NA	NA	NA	NA	NA
10006	VHD	14.18	23.2	NA	NA	NA	NA	NA	NA
10006	VHD	25.09	66.53	NA	NA	NA	NA	NA	NA
10007	VHD	5.53	42.73	NA	NA	NA	NA	NA	NA
10007	VHD	11.61	77.38	NA	NA	NA	NA	NA	NA
10007	VHD	3.76	47.52	NA	NA	NA	NA	NA	NA
10007	VHD	14.64	66.22	NA	NA	NA	NA	NA	NA
10007	VHD	4.36	59.45	NA	NA	NA	NA	NA	NA
10007	VHD	4.31	44.54	NA	NA	NA	NA	NA	NA
10007	VHD	13.2	66.34	NA	NA	NA	NA	NA	NA
10007	VHD	2.95	37.27	NA	NA	NA	NA	NA	NA
10007	VHD	15.61	44.0	NA	NA	NA	NA	NA	NA
10007	VHD	5.77	52.93	NA	NA	NA	NA	NA	NA
10007	VHD	19.4	62.55	NA	NA	NA	NA	NA	NA
10007	VHD	5.01	53.9	NA	NA	NA	NA	NA	NA
10007	VHD	13.96	88.4	NA	NA	NA	NA	NA	NA
10007	VHD	7.03	55.54	NA	NA	NA	NA	NA	NA
10007	VHD	7.49	55.92	NA	NA	NA	NA	NA	NA
10007	VHD	21.77	65.0	NA	NA	NA	NA	NA	NA
10007	VHD	10.39	52.6	NA	NA	NA	NA	NA	NA
10007	VHD	20.5	49.59	NA	NA	NA	NA	NA	NA
10007	VHD	6.56	41.86	NA	NA	NA	NA	NA	NA
10007	VHD	17.62	63.12	NA	NA	NA	NA	NA	NA
10007	VHD	4.95	39.07	NA	NA	NA	NA	NA	NA
10007	VHD	15.24	60.35	NA	NA	NA	NA	NA	NA
10007	VHD	4.7	50.34	NA	NA	NA	NA	NA	NA
10007	VHD	17.4	50.06	NA	NA	NA	NA	NA	NA
10007	VHD	16.67	62.55	NA	NA	NA	NA	NA	NA
10007	VHD	12.47	72.86	NA	NA	NA	NA	NA	NA
10007	VHD	17.46	60.24	NA	NA	NA	NA	NA	NA
10007	VHD	20.69	63.37	NA	NA	NA	NA	NA	NA
10007	VHD	17.47	73.4	NA	NA	NA	NA	NA	NA
10007	VHD	19.6	71.23	NA	NA	NA	NA	NA	NA
10007	VHD	25.07	74.61	NA	NA	NA	NA	NA	NA
10007	VHD	29.38	75.86	NA	NA	NA	NA	NA	NA
10007	VHD	16.22	55.53	NA	NA	NA	NA	NA	NA
10007	VHD	18.84	58.9	NA	NA	NA	NA	NA	NA
10007	VHD	16.54	60.14	NA	NA	NA	NA	NA	NA
10007	VHD	10.53	60.74	NA	NA	NA	NA	NA	NA
10007	VHD	17.48	59.94	NA	NA	NA	NA	NA	NA
10008	VHD	5.46	38.36	NA	NA	NA	NA	NA	NA
10008	VHD	20.89	61.32	NA	NA	NA	NA	NA	NA
10008	VHD	7.36	53.04	NA	NA	NA	NA	NA	NA
10008	VHD	19.32	57.05	NA	NA	NA	NA	NA	NA
10008	VHD	4.88	54.83	NA	NA	NA	NA	NA	NA
10008	VHD	6.12	59.2	NA	NA	NA	NA	NA	NA
10008	VHD	21.71	53.07	NA	NA	NA	NA	NA	NA
10008	VHD	19.95	52.4	NA	NA	NA	NA	NA	NA
10008	VHD	18.02	40.22	NA	NA	NA	NA	NA	NA
10008	VHD	27.0	50.63	NA	NA	NA	NA	NA	NA
10008	VHD	22.94	65.71	NA	NA	NA	NA	NA	NA
10008	VHD	32.71	58.0	NA	NA	NA	NA	NA	NA
10008	VHD	14.83	57.8	NA	NA	NA	NA	NA	NA
10008	VHD	28.95	49.31	NA	NA	NA	NA	NA	NA
10008	VHD	22.67	46.41	NA	NA	NA	NA	NA	NA
10008	VHD	24.75	53.91	NA	NA	NA	NA	NA	NA
10008	VHD	25.97	37.88	NA	NA	NA	NA	NA	NA
10008	VHD	24.56	63.36	NA	NA	NA	NA	NA	NA
10008	VHD	23.45	47.48	NA	NA	NA	NA	NA	NA
10008	VHD	19.73	64.07	NA	NA	NA	NA	NA	NA
10008	VHD	22.32	75.6	NA	NA	NA	NA	NA	NA
10008	VHD	17.45	59.52	NA	NA	NA	NA	NA	NA
10008	VHD	23.55	68.08	NA	NA	NA	NA	NA	NA
10008	VHD	16.74	78.22	NA	NA	NA	NA	NA	NA
10008	VHD	16.53	69.09	NA	NA	NA	NA	NA	NA
10008	VHD	14.84	64.43	NA	NA	NA	NA	NA	NA
10008	VHD	26.5	66.32	NA	NA	NA	NA	NA	NA
10008	VHD	22.4	76.47	NA	NA	NA	NA	NA	NA
10008	VHD	10.5	47.73	NA	NA	NA	NA	NA	NA
10008	VHD	4.17	43.19	NA	NA	NA	NA	NA	NA
10008	VHD	23.35	82.44	NA	NA	NA	NA	NA	NA
10008	VHD	5.21	54.48	NA	NA	NA	NA	NA	NA
10008	VHD	11.48	45.22	NA	NA	NA	NA	NA	NA
10008	VHD	9.92	44.96	NA	NA	NA	NA	NA	NA
10008	VHD	19.29	61.76	NA	NA	NA	NA	NA	NA
10008	VHD	6.81	57.04	NA	NA	NA	NA	NA	NA
10008	VHD	7.02	41.82	NA	NA	NA	NA	NA	NA
10010	LD	9.3	57.54	NA	NA	NA	NA	NA	NA
10010	LD	15.28	74.5	NA	NA	NA	NA	NA	NA
10010	LD	12.43	60.32	NA	NA	NA	NA	NA	NA
10010	LD	17.64	87.49	NA	NA	NA	NA	NA	NA
10010	LD	9.02	76.53	NA	NA	NA	NA	NA	NA
10010	LD	16.02	74.89	NA	NA	NA	NA	NA	NA
10010	LD	7.91	72.4	NA	NA	NA	NA	NA	NA
10010	LD	14.83	69.89	NA	NA	NA	NA	NA	NA
10010	LD	30.27	53.83	NA	NA	NA	NA	NA	NA
10010	LD	16.05	68.43	NA	NA	NA	NA	NA	NA
10010	LD	28.91	54.76	NA	NA	NA	NA	NA	NA
10010	LD	16.71	76.71	NA	NA	NA	NA	NA	NA
10010	LD	14.57	85.39	NA	NA	NA	NA	NA	NA
10010	LD	15.18	67.53	NA	NA	NA	NA	NA	NA
10010	LD	9.37	74.62	NA	NA	NA	NA	NA	NA
10010	LD	18.42	61.42	NA	NA	NA	NA	NA	NA
10010	LD	13.23	60.1	NA	NA	NA	NA	NA	NA
10010	LD	29.4	52.44	NA	NA	NA	NA	NA	NA
10010	LD	20.55	63.52	NA	NA	NA	NA	NA	NA
10010	LD	23.84	71.59	NA	NA	NA	NA	NA	NA
10010	LD	14.66	67.39	NA	NA	NA	NA	NA	NA
10010	LD	17.41	70.52	NA	NA	NA	NA	NA	NA
10010	LD	9.54	76.41	NA	NA	NA	NA	NA	NA
10010	LD	21.28	63.91	NA	NA	NA	NA	NA	NA
10010	LD	21.07	75.02	NA	NA	NA	NA	NA	NA
10010	LD	24.35	65.89	NA	NA	NA	NA	NA	NA
10010	LD	16.54	50.31	NA	NA	NA	NA	NA	NA
10010	LD	18.69	59.3	NA	NA	NA	NA	NA	NA
10010	LD	23.91	67.41	NA	NA	NA	NA	NA	NA
10010	LD	32.29	71.05	NA	NA	NA	NA	NA	NA
10010	LD	18.92	59.43	NA	NA	NA	NA	NA	NA
10010	LD	18.65	67.31	NA	NA	NA	NA	NA	NA
10010	LD	15.96	60.49	NA	NA	NA	NA	NA	NA
10010	LD	18.11	74.31	NA	NA	NA	NA	NA	NA
10010	LD	17.83	78.89	NA	NA	NA	NA	NA	NA
10010	LD	7.95	54.73	NA	NA	NA	NA	NA	NA
10010	LD	11.42	74.79	NA	NA	NA	NA	NA	NA
10011	HD	10.77	44.0	NA	NA	NA	NA	NA	NA
10011	HD	26.16	45.1	NA	NA	NA	NA	NA	NA
10011	HD	12.07	59.98	NA	NA	NA	NA	NA	NA
10011	HD	22.49	53.96	NA	NA	NA	NA	NA	NA
10011	HD	10.7	39.31	NA	NA	NA	NA	NA	NA
10011	HD	13.93	42.93	NA	NA	NA	NA	NA	NA
10011	HD	26.57	42.35	NA	NA	NA	NA	NA	NA
10011	HD	22.3	36.68	NA	NA	NA	NA	NA	NA
10011	HD	21.75	50.07	NA	NA	NA	NA	NA	NA
10011	HD	35.58	42.64	NA	NA	NA	NA	NA	NA
10011	HD	37.91	46.93	NA	NA	NA	NA	NA	NA
10011	HD	10.89	42.64	NA	NA	NA	NA	NA	NA
10011	HD	22.14	32.88	NA	NA	NA	NA	NA	NA
10011	HD	26.54	58.22	NA	NA	NA	NA	NA	NA
10011	HD	29.61	52.32	NA	NA	NA	NA	NA	NA
10011	HD	27.75	54.55	NA	NA	NA	NA	NA	NA
10011	HD	25.51	48.92	NA	NA	NA	NA	NA	NA
10011	HD	25.75	60.37	NA	NA	NA	NA	NA	NA
10011	HD	21.92	41.31	NA	NA	NA	NA	NA	NA
10011	HD	24.7	47.62	NA	NA	NA	NA	NA	NA
10011	HD	23.04	59.34	NA	NA	NA	NA	NA	NA
10011	HD	24.99	41.59	NA	NA	NA	NA	NA	NA
10011	HD	46.06	58.08	NA	NA	NA	NA	NA	NA
10011	HD	33.51	47.76	NA	NA	NA	NA	NA	NA
10011	HD	17.11	38.18	NA	NA	NA	NA	NA	NA
10011	HD	23.73	56.16	NA	NA	NA	NA	NA	NA
10011	HD	10.72	37.71	NA	NA	NA	NA	NA	NA
10011	HD	29.44	67.31	NA	NA	NA	NA	NA	NA
10011	HD	10.08	38.05	NA	NA	NA	NA	NA	NA
10011	HD	12.54	49.62	NA	NA	NA	NA	NA	NA
10011	HD	11.83	31.41	NA	NA	NA	NA	NA	NA
10011	HD	12.0	33.73	NA	NA	NA	NA	NA	NA
10011	HD	11.36	48.89	NA	NA	NA	NA	NA	NA
10011	HD	37.27	42.99	NA	NA	NA	NA	NA	NA
10011	HD	21.13	45.33	NA	NA	NA	NA	NA	NA
10011	HD	22.41	48.5	NA	NA	NA	NA	NA	NA
10011	HD	11.49	38.81	NA	NA	NA	NA	NA	NA
10012	VHD	18.38	77.12	NA	NA	NA	NA	NA	NA
10012	VHD	14.07	86.02	NA	NA	NA	NA	NA	NA
10012	VHD	14.6	64.33	NA	NA	NA	NA	NA	NA
10012	VHD	18.09	95.28	NA	NA	NA	NA	NA	NA
10012	VHD	13.09	76.79	NA	NA	NA	NA	NA	NA
10012	VHD	11.42	67.76	NA	NA	NA	NA	NA	NA
10012	VHD	14.59	72.59	NA	NA	NA	NA	NA	NA
10012	VHD	3.35	46.26	NA	NA	NA	NA	NA	NA
10012	VHD	11.05	68.6	NA	NA	NA	NA	NA	NA
